item,val
batter,AMB
beat,AMB
break,AMB
catch,AMB
cheap,AMB
check,AMB
close,AMB
club,AMB
court,AMB
crush,AMB
direct,AMB
fall,AMB
fame,AMB
fine,AMB
hang,AMB
jam,AMB
mug,AMB
patient,AMB
pick,AMB
pop,AMB
proud,AMB
retreat,AMB
revolution,AMB
shady,AMB
sharp,AMB
shot,AMB
superior,AMB
survivor,AMB
take,AMB
terminal,AMB
thick,AMB
trip,AMB
enjoy,AMB
fantastic,POS
awesome,POS
forgive,POS
free,POS
fun,POS
good,POS
grace,POS
great,POS
helpful,POS
joy,POS
kindness,POS
lovely,POS
peace,POS
puppy,POS
relax,POS
reward,POS
success,POS
sunny,POS
win,POS
bonus,POS
awesome,NEG
talent,POS
beach,POS
rough,POS
annoy,NEG
awful,NEG
corrupt,NEG
disaster,NEG
disgust,NEG
failed,NEG
gross,NEG
hate,NEG
loss,NEG
menace,NEG
nightmare,NEG
pathetic,NEG
poor,NEG
prison,NEG
rude,NEG
scared,NEG
terror,NEG
ugly,NEG
wrong,NEG
monster,NEG
mess,NEG
garbage,NEG
evil,NEG
denied,NEG
badly,NEG
crap,NEG
damn,NEG
damage,NEG
